Breach_ID,Breach_Start_Date,Breach_End_Date,Year,Attack_Type,Attack_Vector,Vulnerability,Detection_Method,System_Affected,Breach_Severity,How_Resolved,Origin_Country,Target_Country,Target_Sector,Data_Compromised,Notes,Breach_Duration_Days
2FD5389F,2022-05-04,2022-05-14,2022,Phishing,Remote Desktop (RDP),Outdated Firewall,SIEM Alerts,Cloud Storage,Medium,Zero-Day Patch,UAE,India,Telecom,Internal Documents,Automated synthetic breach entry for research dataset.,10
D4F23E6F,2023-02-11,2023-02-19,2023,Web Exploit,Social Engineering,Privilege Escalation Bug,AI-Based Monitoring,Email System,Low,Employee Terminated,Nigeria,Brazil,Banking,Basic Metadata,Automated synthetic breach entry for research dataset.,8
98E06DCA,2022-09-07,2022-09-14,2022,Phishing,Drive-by Download,Unpatched VPN,SIEM Alerts,Database,Low,Malware Removal,Russia,Pakistan,Government,Minimal Logs,Automated synthetic breach entry for research dataset.,7
D742E258,2019-07-03,2019-07-09,2019,Phishing,Cloud Misconfiguration,Misconfigured S3 Bucket,Firewall Logs,Internal Network,Low,System Isolation,Germany,Canada,Telecom,Minimal Logs,Automated synthetic breach entry for research dataset.,6
8F26C7B8,2017-01-31,2017-02-02,2017,Cloud Misconfiguration,Remote Desktop (RDP),Zero-Day Vulnerability,Manual Review,Internal Network,High,Patch Applied,Russia,South Korea,Manufacturing,User Tokens,Automated synthetic breach entry for research dataset.,2
0C97F799,2018-02-19,2018-02-27,2018,Cloud Misconfiguration,USB Infection,Outdated Firewall,Firewall Logs,Email System,High,Firewall Updated,Italy,Germany,Manufacturing,Credentials,Automated synthetic breach entry for research dataset.,8
3E55575F,2017-04-06,2017-04-11,2017,Insider Threat,Remote Desktop (RDP),Misconfigured S3 Bucket,Firewall Logs,Cloud Storage,High,Zero-Day Patch,UAE,Japan,Tech,Transaction Logs,Automated synthetic breach entry for research dataset.,5
8469000C,2015-06-25,2015-06-28,2015,Cloud Misconfiguration,Email Phishing,SQL Injection Flaw,Firewall Logs,IoT Devices,High,Traffic Filtering,India,Japan,Government,User Tokens,Automated synthetic breach entry for research dataset.,3
E2202E4C,2022-09-04,2022-09-07,2022,Web Exploit,Malicious Link,Zero-Day Vulnerability,Firewall Logs,Payment Server,Low,Firewall Updated,India,Netherlands,Education,Minimal Logs,Automated synthetic breach entry for research dataset.,3
CA42647C,2018-08-13,2018-08-21,2018,Cloud Misconfiguration,Social Engineering,Privilege Escalation Bug,Manual Review,Web Server,High,Traffic Filtering,France,Australia,Finance,Credentials,Automated synthetic breach entry for research dataset.,8
B3655338,2018-07-23,2018-07-24,2018,Insider Threat,Malicious Link,Unpatched VPN,Firewall Logs,Payment Server,High,Zero-Day Patch,Australia,Nigeria,Manufacturing,Transaction Logs,Automated synthetic breach entry for research dataset.,1
5B3EA82A,2019-04-16,2019-04-20,2019,Phishing,Remote Desktop (RDP),Unpatched VPN,Firewall Logs,Web Server,Medium,Firewall Updated,Pakistan,UK,Tech,Emails,Automated synthetic breach entry for research dataset.,4
A8724C45,2015-05-03,2015-05-10,2015,Insider Threat,Compromised Vendor,Zero-Day Vulnerability,Firewall Logs,Email System,High,Employee Terminated,Nigeria,Japan,Tech,User Tokens,Automated synthetic breach entry for research dataset.,7
BD48E4B9,2018-06-11,2018-06-16,2018,Insider Threat,Compromised Vendor,CVE-2021-44228 (Log4j),Firewall Logs,Web Server,High,MFA Implemented,Pakistan,Brazil,Manufacturing,Transaction Logs,Automated synthetic breach entry for research dataset.,5
270A47BF,2022-04-24,2022-05-02,2022,Zero-Day Exploit,Drive-by Download,Weak Password Policy,Unusual Activity Detection,IoT Devices,High,Zero-Day Patch,Japan,Nigeria,Healthcare,Transaction Logs,Automated synthetic breach entry for research dataset.,8
9ABCB20D,2023-01-29,2023-02-12,2023,Ransomware,Drive-by Download,Weak Password Policy,AI-Based Monitoring,IoT Devices,Critical,Patch Applied,USA,Italy,Finance,Sensitive PII,Automated synthetic breach entry for research dataset.,14
ED176821,2015-06-17,2015-06-21,2015,Cloud Misconfiguration,Remote Desktop (RDP),Weak Password Policy,Firewall Logs,IoT Devices,High,MFA Implemented,Pakistan,Japan,Education,Credentials,Automated synthetic breach entry for research dataset.,4
2D86338D,2020-09-02,2020-09-12,2020,Cloud Misconfiguration,USB Infection,CVE-2021-44228 (Log4j),SIEM Alerts,Payment Server,High,Traffic Filtering,Brazil,India,Retail,User Tokens,Automated synthetic breach entry for research dataset.,10
5F469874,2016-05-26,2016-05-30,2016,Phishing,USB Infection,Misconfigured S3 Bucket,Firewall Logs,Internal Network,Medium,Key Rotation,France,Italy,Finance,Internal Documents,Automated synthetic breach entry for research dataset.,4
E36E819E,2024-06-19,2024-07-01,2024,Zero-Day Exploit,Malicious Link,Unsecured API,AI-Based Monitoring,Internal Network,Medium,MFA Implemented,USA,Italy,Telecom,Emails,Automated synthetic breach entry for research dataset.,12
7BBBB867,2020-07-23,2020-08-01,2020,Ransomware,Compromised Vendor,CVE-2021-44228 (Log4j),Unusual Activity Detection,Endpoint Devices,Critical,Patch Applied,Japan,Pakistan,Manufacturing,Financial Records,Automated synthetic breach entry for research dataset.,9
0FDAA2A3,2024-07-03,2024-07-13,2024,Phishing,Web Exploit,SQL Injection Flaw,AI-Based Monitoring,IoT Devices,Medium,Backups Restored,Japan,Japan,Tech,Emails,Automated synthetic breach entry for research dataset.,10
FBF8F68F,2021-11-22,2021-11-29,2021,Zero-Day Exploit,USB Infection,Outdated Firewall,Unusual Activity Detection,Endpoint Devices,High,Key Rotation,Spain,USA,Telecom,User Tokens,Automated synthetic breach entry for research dataset.,7
6CA21A88,2019-02-26,2019-03-01,2019,Zero-Day Exploit,Email Phishing,Unsecured API,Firewall Logs,IoT Devices,Medium,System Isolation,Canada,India,Transportation,Emails,Automated synthetic breach entry for research dataset.,3
F69049B6,2017-03-14,2017-03-15,2017,Phishing,Malicious Link,Unpatched VPN,Firewall Logs,IoT Devices,Medium,Patch Applied,USA,Italy,Energy,Emails,Automated synthetic breach entry for research dataset.,1
584EDCBE,2024-05-22,2024-06-01,2024,Zero-Day Exploit,USB Infection,Zero-Day Vulnerability,AI-Based Monitoring,Payment Server,High,Firewall Updated,France,UAE,Finance,Credentials,Automated synthetic breach entry for research dataset.,10
176EED3F,2018-08-08,2018-08-12,2018,Ransomware,Email Phishing,Zero-Day Vulnerability,Manual Review,Internal Network,High,Firewall Updated,Germany,UK,Education,Credentials,Automated synthetic breach entry for research dataset.,4
85257CCA,2022-10-27,2022-11-08,2022,Zero-Day Exploit,Web Exploit,SQL Injection Flaw,Unusual Activity Detection,IoT Devices,High,Backups Restored,France,Pakistan,Finance,User Tokens,Automated synthetic breach entry for research dataset.,12
D7CC4484,2022-12-27,2022-12-30,2022,Phishing,Drive-by Download,Unpatched VPN,Firewall Logs,IoT Devices,Low,Traffic Filtering,South Korea,Canada,Manufacturing,Basic Metadata,Automated synthetic breach entry for research dataset.,3
4CC38F43,2025-07-20,2025-08-04,2025,Insider Threat,Compromised Vendor,CVE-2021-44228 (Log4j),SIEM Alerts,Email System,Critical,Patch Applied,USA,Japan,Retail,Full Database Dump,Automated synthetic breach entry for research dataset.,15
1F912B6B,2017-05-04,2017-05-10,2017,Web Exploit,Web Exploit,Weak Password Policy,Firewall Logs,Database,Low,Zero-Day Patch,UAE,UAE,Government,Basic Metadata,Automated synthetic breach entry for research dataset.,6
80D83D2A,2019-12-08,2019-12-09,2019,Ransomware,Social Engineering,Unsecured API,Manual Review,Payment Server,High,Traffic Filtering,Netherlands,Russia,Energy,Credentials,Automated synthetic breach entry for research dataset.,1
C0B217DB,2023-11-07,2023-11-18,2023,Phishing,Malicious Link,Misconfigured S3 Bucket,SIEM Alerts,Cloud Storage,Medium,Traffic Filtering,Italy,China,Healthcare,Internal Documents,Automated synthetic breach entry for research dataset.,11
1B9E4EA0,2022-02-16,2022-02-21,2022,Ransomware,Compromised Vendor,Weak Password Policy,Firewall Logs,Web Server,Critical,Malware Removal,Russia,UK,Energy,Full Database Dump,Automated synthetic breach entry for research dataset.,5
6C445FDF,2019-08-07,2019-08-13,2019,Phishing,Social Engineering,Unpatched VPN,Firewall Logs,Payment Server,Low,Firewall Updated,UAE,UAE,Manufacturing,Minimal Logs,Automated synthetic breach entry for research dataset.,6
3467FC9A,2019-11-29,2019-12-02,2019,Phishing,USB Infection,Zero-Day Vulnerability,Manual Review,Email System,Low,Zero-Day Patch,Spain,France,Manufacturing,Minimal Logs,Automated synthetic breach entry for research dataset.,3
C075EEB9,2018-12-14,2018-12-22,2018,Insider Threat,Drive-by Download,Misconfigured S3 Bucket,Manual Review,IoT Devices,High,Traffic Filtering,Brazil,UAE,Government,Credentials,Automated synthetic breach entry for research dataset.,8
1A270625,2025-02-18,2025-02-27,2025,Phishing,Web Exploit,Privilege Escalation Bug,SIEM Alerts,IoT Devices,Medium,Malware Removal,Canada,USA,Education,Emails,Automated synthetic breach entry for research dataset.,9
8CA785BB,2022-01-19,2022-01-23,2022,Cloud Misconfiguration,Email Phishing,Privilege Escalation Bug,Firewall Logs,IoT Devices,High,Zero-Day Patch,Russia,Russia,Finance,Transaction Logs,Automated synthetic breach entry for research dataset.,4
63273D33,2022-12-25,2023-01-04,2022,Ransomware,Remote Desktop (RDP),Misconfigured S3 Bucket,SIEM Alerts,Internal Network,High,Firewall Updated,South Korea,India,Energy,Credentials,Automated synthetic breach entry for research dataset.,10
7E73E0A1,2019-03-10,2019-03-18,2019,Cloud Misconfiguration,Email Phishing,SQL Injection Flaw,Firewall Logs,Cloud Storage,Medium,System Isolation,Nigeria,India,Government,Internal Documents,Automated synthetic breach entry for research dataset.,8
B8F0A9D0,2017-09-04,2017-09-10,2017,Phishing,Social Engineering,Misconfigured S3 Bucket,Manual Review,Email System,Low,Malware Removal,Germany,Pakistan,Manufacturing,Basic Metadata,Automated synthetic breach entry for research dataset.,6
8269232F,2025-12-31,2026-01-06,2025,Ransomware,Remote Desktop (RDP),Unsecured API,SIEM Alerts,Email System,Critical,Firewall Updated,UAE,Australia,Retail,Sensitive PII,Automated synthetic breach entry for research dataset.,6
CB749106,2019-01-07,2019-01-09,2019,Cloud Misconfiguration,Remote Desktop (RDP),Privilege Escalation Bug,Firewall Logs,Internal Network,Medium,MFA Implemented,Italy,Iran,Government,Emails,Automated synthetic breach entry for research dataset.,2
9D348958,2020-05-27,2020-06-07,2020,Ransomware,Drive-by Download,Misconfigured S3 Bucket,Unusual Activity Detection,Cloud Storage,High,Employee Terminated,Spain,UAE,Banking,Transaction Logs,Automated synthetic breach entry for research dataset.,11
0B4DDDDA,2018-10-29,2018-11-02,2018,Phishing,Cloud Misconfiguration,Unpatched VPN,Firewall Logs,Cloud Storage,Low,MFA Implemented,UK,Nigeria,Manufacturing,Minimal Logs,Automated synthetic breach entry for research dataset.,4
698E956A,2015-03-11,2015-03-12,2015,Phishing,Remote Desktop (RDP),CVE-2021-44228 (Log4j),Firewall Logs,IoT Devices,Medium,MFA Implemented,UAE,Brazil,Telecom,Emails,Automated synthetic breach entry for research dataset.,1
756ABED1,2024-02-26,2024-03-03,2024,Ransomware,Email Phishing,Weak Password Policy,Threat Intelligence Feed,Database,Critical,Employee Terminated,Italy,UK,Energy,Full Database Dump,Automated synthetic breach entry for research dataset.,6
EF6430BB,2019-04-28,2019-04-30,2019,Insider Threat,Social Engineering,Zero-Day Vulnerability,Firewall Logs,Email System,High,Employee Terminated,France,Nigeria,Manufacturing,Transaction Logs,Automated synthetic breach entry for research dataset.,2
CE1796E3,2022-08-03,2022-08-14,2022,Ransomware,Compromised Vendor,Unpatched VPN,Firewall Logs,Internal Network,High,Firewall Updated,Russia,Spain,Retail,Credentials,Automated synthetic breach entry for research dataset.,11
BC25EF3A,2024-01-20,2024-02-06,2024,Zero-Day Exploit,USB Infection,Unpatched VPN,AI-Based Monitoring,Endpoint Devices,High,Zero-Day Patch,Nigeria,Italy,Telecom,Credentials,Automated synthetic breach entry for research dataset.,17
70EC2571,2020-02-05,2020-02-14,2020,Ransomware,USB Infection,Weak Password Policy,Firewall Logs,Database,Critical,Malware Removal,UK,Iran,Government,Sensitive PII,Automated synthetic breach entry for research dataset.,9
3B2EDCA9,2020-07-11,2020-07-19,2020,Zero-Day Exploit,Malicious Link,Zero-Day Vulnerability,SIEM Alerts,Endpoint Devices,Medium,MFA Implemented,Iran,Spain,Manufacturing,Internal Documents,Automated synthetic breach entry for research dataset.,8
381980D9,2023-03-27,2023-04-02,2023,Ransomware,Cloud Misconfiguration,Privilege Escalation Bug,Threat Intelligence Feed,Cloud Storage,Critical,Firewall Updated,Italy,Canada,Tech,Sensitive PII,Automated synthetic breach entry for research dataset.,6
C56503B5,2022-10-31,2022-11-09,2022,Zero-Day Exploit,USB Infection,Unpatched VPN,SIEM Alerts,Database,Medium,Firewall Updated,Germany,USA,Government,Internal Documents,Automated synthetic breach entry for research dataset.,9
67DDE331,2024-12-01,2024-12-11,2024,Zero-Day Exploit,Web Exploit,CVE-2021-44228 (Log4j),Threat Intelligence Feed,Web Server,High,Malware Removal,USA,China,Tech,Transaction Logs,Automated synthetic breach entry for research dataset.,10
C9E3E15A,2015-06-08,2015-06-09,2015,Ransomware,Web Exploit,Unsecured API,Firewall Logs,Cloud Storage,Critical,Key Rotation,China,Russia,Government,Financial Records,Automated synthetic breach entry for research dataset.,1
0E205BA4,2019-11-19,2019-11-25,2019,Zero-Day Exploit,Remote Desktop (RDP),Outdated Firewall,Manual Review,Endpoint Devices,High,Firewall Updated,Brazil,Netherlands,Telecom,Transaction Logs,Automated synthetic breach entry for research dataset.,6
0DB4BC34,2022-09-06,2022-09-14,2022,Web Exploit,Cloud Misconfiguration,Misconfigured S3 Bucket,Firewall Logs,Endpoint Devices,Medium,Backups Restored,Brazil,France,Finance,Emails,Automated synthetic breach entry for research dataset.,8
9B3CCE62,2019-10-13,2019-10-20,2019,Phishing,Email Phishing,Outdated Firewall,Firewall Logs,Payment Server,Low,System Isolation,Australia,Canada,Healthcare,Basic Metadata,Automated synthetic breach entry for research dataset.,7
50DB3F76,2015-04-17,2015-04-24,2015,Phishing,Social Engineering,Weak Password Policy,Manual Review,IoT Devices,Low,Employee Terminated,Canada,Pakistan,Banking,Basic Metadata,Automated synthetic breach entry for research dataset.,7
CBC6C51D,2023-08-05,2023-08-22,2023,Ransomware,Email Phishing,Weak Password Policy,Threat Intelligence Feed,Database,Critical,Backups Restored,China,USA,Telecom,Sensitive PII,Automated synthetic breach entry for research dataset.,17
B195CB61,2019-01-27,2019-01-29,2019,Phishing,Drive-by Download,SQL Injection Flaw,Manual Review,Database,Low,System Isolation,Netherlands,Australia,Manufacturing,Basic Metadata,Automated synthetic breach entry for research dataset.,2
A81CB773,2024-10-25,2024-11-04,2024,Zero-Day Exploit,USB Infection,Misconfigured S3 Bucket,Threat Intelligence Feed,Payment Server,High,Zero-Day Patch,Pakistan,UAE,Finance,User Tokens,Automated synthetic breach entry for research dataset.,10
C76B498A,2018-04-15,2018-04-19,2018,Phishing,Web Exploit,CVE-2021-44228 (Log4j),Firewall Logs,Endpoint Devices,Medium,Traffic Filtering,Canada,South Korea,Retail,Internal Documents,Automated synthetic breach entry for research dataset.,4
588D6F39,2018-02-23,2018-02-27,2018,Phishing,Compromised Vendor,Privilege Escalation Bug,Manual Review,Cloud Storage,Low,Malware Removal,Japan,Germany,Transportation,Minimal Logs,Automated synthetic breach entry for research dataset.,4
979EEB0A,2021-05-21,2021-05-31,2021,Ransomware,USB Infection,SQL Injection Flaw,SIEM Alerts,Cloud Storage,High,Employee Terminated,Germany,Netherlands,Education,Transaction Logs,Automated synthetic breach entry for research dataset.,10
C576CF89,2024-05-21,2024-06-04,2024,Cloud Misconfiguration,Web Exploit,Privilege Escalation Bug,Threat Intelligence Feed,Web Server,High,Traffic Filtering,France,Netherlands,Telecom,User Tokens,Automated synthetic breach entry for research dataset.,14
21E57773,2015-08-29,2015-09-04,2015,Zero-Day Exploit,Drive-by Download,Unsecured API,Firewall Logs,Internal Network,Medium,Firewall Updated,Nigeria,South Korea,Government,Internal Documents,Automated synthetic breach entry for research dataset.,6
7D265164,2021-07-23,2021-07-29,2021,Ransomware,Remote Desktop (RDP),Weak Password Policy,Firewall Logs,Web Server,High,Patch Applied,Pakistan,UK,Transportation,Transaction Logs,Automated synthetic breach entry for research dataset.,6
BEB8F645,2018-02-20,2018-02-26,2018,Zero-Day Exploit,Web Exploit,Weak Password Policy,Firewall Logs,Web Server,Medium,Employee Terminated,South Korea,Russia,Energy,Internal Documents,Automated synthetic breach entry for research dataset.,6
9494D8F7,2015-03-24,2015-03-27,2015,Zero-Day Exploit,Cloud Misconfiguration,Privilege Escalation Bug,Firewall Logs,Internal Network,Medium,MFA Implemented,Brazil,Netherlands,Healthcare,Emails,Automated synthetic breach entry for research dataset.,3
B0AD444E,2022-05-22,2022-05-27,2022,Phishing,Malicious Link,Zero-Day Vulnerability,SIEM Alerts,Cloud Storage,Low,Malware Removal,South Korea,Iran,Transportation,Minimal Logs,Automated synthetic breach entry for research dataset.,5
01F72755,2019-07-09,2019-07-13,2019,Zero-Day Exploit,Remote Desktop (RDP),Zero-Day Vulnerability,Firewall Logs,Cloud Storage,Medium,System Isolation,Netherlands,UAE,Telecom,Emails,Automated synthetic breach entry for research dataset.,4
1FE0B88C,2024-06-15,2024-06-23,2024,Phishing,USB Infection,CVE-2021-44228 (Log4j),Threat Intelligence Feed,Email System,Medium,Firewall Updated,Brazil,Italy,Telecom,Internal Documents,Automated synthetic breach entry for research dataset.,8
C37E7CDD,2025-12-18,2026-01-01,2025,Cloud Misconfiguration,USB Infection,Weak Password Policy,SIEM Alerts,Database,High,System Isolation,India,Canada,Finance,User Tokens,Automated synthetic breach entry for research dataset.,14
BCE16434,2022-02-07,2022-02-11,2022,Phishing,Malicious Link,SQL Injection Flaw,Unusual Activity Detection,Web Server,Medium,Malware Removal,USA,Pakistan,Healthcare,Internal Documents,Automated synthetic breach entry for research dataset.,4
42BD87D7,2025-04-23,2025-05-10,2025,Ransomware,Web Exploit,SQL Injection Flaw,AI-Based Monitoring,Web Server,Critical,Employee Terminated,USA,South Korea,Finance,Sensitive PII,Automated synthetic breach entry for research dataset.,17
466D065B,2019-04-20,2019-04-22,2019,Ransomware,Malicious Link,SQL Injection Flaw,Firewall Logs,Web Server,High,Malware Removal,Brazil,UAE,Manufacturing,Credentials,Automated synthetic breach entry for research dataset.,2
F8097137,2017-01-22,2017-01-28,2017,Insider Threat,Malicious Link,Unsecured API,Manual Review,Database,Critical,Firewall Updated,Pakistan,UAE,Telecom,Full Database Dump,Automated synthetic breach entry for research dataset.,6
0372F4DE,2021-12-20,2021-12-23,2021,Cloud Misconfiguration,Drive-by Download,Weak Password Policy,Firewall Logs,Endpoint Devices,High,Malware Removal,Pakistan,Japan,Education,Transaction Logs,Automated synthetic breach entry for research dataset.,3
DAF4FB1C,2018-02-12,2018-02-19,2018,Insider Threat,Malicious Link,SQL Injection Flaw,Firewall Logs,Payment Server,High,Key Rotation,China,Pakistan,Education,Transaction Logs,Automated synthetic breach entry for research dataset.,7
661A03E2,2018-03-27,2018-03-29,2018,Phishing,Remote Desktop (RDP),Unsecured API,Manual Review,Endpoint Devices,Medium,Backups Restored,India,Iran,Tech,Internal Documents,Automated synthetic breach entry for research dataset.,2
E7FAB8FF,2015-07-11,2015-07-13,2015,Ransomware,USB Infection,Privilege Escalation Bug,Firewall Logs,Cloud Storage,Critical,Malware Removal,Nigeria,South Korea,Manufacturing,Sensitive PII,Automated synthetic breach entry for research dataset.,2
083F14D2,2021-01-06,2021-01-10,2021,Ransomware,Compromised Vendor,Unpatched VPN,SIEM Alerts,Database,High,Patch Applied,UAE,Canada,Transportation,Transaction Logs,Automated synthetic breach entry for research dataset.,4
37A84AFB,2015-12-19,2015-12-22,2015,Phishing,Web Exploit,Unsecured API,Manual Review,Payment Server,Low,Employee Terminated,Spain,Spain,Healthcare,Minimal Logs,Automated synthetic breach entry for research dataset.,3
8E99C9BE,2015-11-07,2015-11-15,2015,Cloud Misconfiguration,Email Phishing,CVE-2021-44228 (Log4j),Firewall Logs,Endpoint Devices,High,Key Rotation,Brazil,Germany,Manufacturing,User Tokens,Automated synthetic breach entry for research dataset.,8
BBE33396,2023-03-10,2023-03-21,2023,Cloud Misconfiguration,Malicious Link,Zero-Day Vulnerability,Threat Intelligence Feed,Email System,High,Key Rotation,France,South Korea,Manufacturing,User Tokens,Automated synthetic breach entry for research dataset.,11
9E7DAF06,2024-03-14,2024-04-02,2024,Cloud Misconfiguration,Cloud Misconfiguration,Unsecured API,SIEM Alerts,Web Server,High,System Isolation,South Korea,South Korea,Government,Transaction Logs,Automated synthetic breach entry for research dataset.,19
9C379116,2017-11-28,2017-12-04,2017,Insider Threat,Cloud Misconfiguration,Unsecured API,Firewall Logs,Internal Network,Critical,Patch Applied,Spain,UAE,Education,Financial Records,Automated synthetic breach entry for research dataset.,6
46FD2D10,2016-04-02,2016-04-09,2016,Zero-Day Exploit,Compromised Vendor,Unsecured API,Firewall Logs,Internal Network,High,Backups Restored,Nigeria,UAE,Energy,Credentials,Automated synthetic breach entry for research dataset.,7
B119D585,2023-05-10,2023-05-17,2023,Phishing,Remote Desktop (RDP),Unsecured API,SIEM Alerts,Cloud Storage,Low,Traffic Filtering,Brazil,Pakistan,Telecom,Minimal Logs,Automated synthetic breach entry for research dataset.,7
186BD1C1,2019-08-01,2019-08-08,2019,Cloud Misconfiguration,Cloud Misconfiguration,Zero-Day Vulnerability,Firewall Logs,Email System,Medium,Traffic Filtering,Australia,UK,Manufacturing,Internal Documents,Automated synthetic breach entry for research dataset.,7
46AB58EF,2019-01-02,2019-01-07,2019,Cloud Misconfiguration,Malicious Link,Unsecured API,Firewall Logs,IoT Devices,Medium,System Isolation,Brazil,Pakistan,Retail,Internal Documents,Automated synthetic breach entry for research dataset.,5
C5309010,2024-03-26,2024-04-13,2024,Ransomware,Remote Desktop (RDP),Unpatched VPN,Threat Intelligence Feed,Internal Network,High,System Isolation,South Korea,Canada,Government,Credentials,Automated synthetic breach entry for research dataset.,18
64505A59,2016-09-27,2016-10-04,2016,Phishing,Compromised Vendor,Zero-Day Vulnerability,Firewall Logs,Payment Server,Low,Traffic Filtering,India,South Korea,Manufacturing,Minimal Logs,Automated synthetic breach entry for research dataset.,7
72A54B99,2021-04-11,2021-04-20,2021,Insider Threat,Drive-by Download,Unsecured API,Unusual Activity Detection,Internal Network,High,Backups Restored,India,Germany,Government,User Tokens,Automated synthetic breach entry for research dataset.,9
CA6759B2,2022-11-06,2022-11-14,2022,Phishing,Compromised Vendor,Outdated Firewall,Firewall Logs,Cloud Storage,Medium,MFA Implemented,Australia,Canada,Healthcare,Emails,Automated synthetic breach entry for research dataset.,8
78F0085A,2025-11-03,2025-11-22,2025,Zero-Day Exploit,Social Engineering,Misconfigured S3 Bucket,Threat Intelligence Feed,Email System,High,Backups Restored,UAE,France,Government,Transaction Logs,Automated synthetic breach entry for research dataset.,19
98B57BCC,2019-06-22,2019-06-30,2019,Ransomware,USB Infection,Unpatched VPN,Manual Review,IoT Devices,High,Backups Restored,Russia,Italy,Finance,Transaction Logs,Automated synthetic breach entry for research dataset.,8
8FEAD020,2023-01-09,2023-01-26,2023,Cloud Misconfiguration,USB Infection,Unpatched VPN,AI-Based Monitoring,Web Server,High,MFA Implemented,USA,Canada,Manufacturing,Transaction Logs,Automated synthetic breach entry for research dataset.,17
E2414FF3,2019-11-15,2019-11-22,2019,Phishing,USB Infection,Outdated Firewall,Firewall Logs,Web Server,Low,Backups Restored,Australia,India,Healthcare,Basic Metadata,Automated synthetic breach entry for research dataset.,7
A548FE37,2018-09-20,2018-09-25,2018,Zero-Day Exploit,Social Engineering,CVE-2021-44228 (Log4j),Manual Review,IoT Devices,Medium,Traffic Filtering,Russia,Nigeria,Finance,Emails,Automated synthetic breach entry for research dataset.,5
D4FBE87D,2023-11-06,2023-11-24,2023,Ransomware,Social Engineering,Unsecured API,AI-Based Monitoring,Web Server,Critical,System Isolation,UK,South Korea,Government,Sensitive PII,Automated synthetic breach entry for research dataset.,18
63E2513C,2022-07-11,2022-07-21,2022,Ransomware,Remote Desktop (RDP),Weak Password Policy,Unusual Activity Detection,Cloud Storage,Critical,Firewall Updated,Japan,China,Government,Full Database Dump,Automated synthetic breach entry for research dataset.,10
4D575CBD,2024-03-11,2024-03-26,2024,Phishing,Cloud Misconfiguration,Weak Password Policy,AI-Based Monitoring,Database,Low,Traffic Filtering,UAE,India,Manufacturing,Basic Metadata,Automated synthetic breach entry for research dataset.,15
707C958F,2023-08-16,2023-09-04,2023,Ransomware,Remote Desktop (RDP),CVE-2021-44228 (Log4j),AI-Based Monitoring,Cloud Storage,Critical,Malware Removal,Pakistan,Brazil,Energy,Financial Records,Automated synthetic breach entry for research dataset.,19
67F89F88,2017-05-03,2017-05-05,2017,Phishing,Social Engineering,CVE-2021-44228 (Log4j),Firewall Logs,IoT Devices,Low,Key Rotation,Germany,Germany,Finance,Minimal Logs,Automated synthetic breach entry for research dataset.,2
5C1A4FCA,2024-01-10,2024-01-20,2024,Zero-Day Exploit,Compromised Vendor,Outdated Firewall,Threat Intelligence Feed,Internal Network,High,Zero-Day Patch,Netherlands,Italy,Healthcare,User Tokens,Automated synthetic breach entry for research dataset.,10
05F949D4,2016-07-29,2016-08-02,2016,Cloud Misconfiguration,Cloud Misconfiguration,Unpatched VPN,Firewall Logs,Cloud Storage,High,Employee Terminated,UK,South Korea,Telecom,User Tokens,Automated synthetic breach entry for research dataset.,4
7BC2731D,2025-01-10,2025-01-21,2025,Cloud Misconfiguration,Drive-by Download,Unsecured API,Threat Intelligence Feed,Database,High,Employee Terminated,China,Brazil,Healthcare,Transaction Logs,Automated synthetic breach entry for research dataset.,11
C800F008,2021-11-04,2021-11-09,2021,Zero-Day Exploit,Malicious Link,Zero-Day Vulnerability,Firewall Logs,IoT Devices,High,Key Rotation,China,Pakistan,Manufacturing,Credentials,Automated synthetic breach entry for research dataset.,5
AE58F095,2020-01-17,2020-01-24,2020,Ransomware,Web Exploit,CVE-2021-44228 (Log4j),SIEM Alerts,Internal Network,Critical,Employee Terminated,Iran,USA,Education,Financial Records,Automated synthetic breach entry for research dataset.,7
097FB894,2018-10-20,2018-10-24,2018,Zero-Day Exploit,Web Exploit,Unpatched VPN,Manual Review,IoT Devices,High,Backups Restored,China,South Korea,Healthcare,Credentials,Automated synthetic breach entry for research dataset.,4
60ADDFE7,2024-01-17,2024-01-23,2024,Cloud Misconfiguration,USB Infection,Unpatched VPN,AI-Based Monitoring,Payment Server,High,MFA Implemented,UAE,Japan,Healthcare,User Tokens,Automated synthetic breach entry for research dataset.,6
2BDE98AB,2015-09-10,2015-09-16,2015,Phishing,Social Engineering,Weak Password Policy,Firewall Logs,Endpoint Devices,Low,Zero-Day Patch,UK,Brazil,Telecom,Minimal Logs,Automated synthetic breach entry for research dataset.,6
A470D673,2015-03-01,2015-03-07,2015,Zero-Day Exploit,Cloud Misconfiguration,Misconfigured S3 Bucket,Firewall Logs,Web Server,Medium,MFA Implemented,China,Italy,Transportation,Emails,Automated synthetic breach entry for research dataset.,6
D4E97600,2020-10-26,2020-11-07,2020,Ransomware,Drive-by Download,Privilege Escalation Bug,Unusual Activity Detection,Cloud Storage,Critical,Traffic Filtering,Brazil,UK,Government,Financial Records,Automated synthetic breach entry for research dataset.,12
4AAF411E,2022-07-09,2022-07-12,2022,Ransomware,Email Phishing,Zero-Day Vulnerability,Unusual Activity Detection,Database,High,Firewall Updated,Nigeria,Netherlands,Transportation,Transaction Logs,Automated synthetic breach entry for research dataset.,3
