ID,Name_of_Covered_Entity,State,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,year,Breach_Month,Breach_Quarter,Name_of_Covered_Entity_Encoded,State_Encoded,Type_of_Breach_Encoded,Location_of_Breached_Information_Encoded
200,Oklahoma City VA Medical Center,OK,1950,2010-10-08,"Theft, Loss, Improper Disposal",Paper,2014-01-23,2010-01-01,10,4,592,36,15,40
201,Albert Einstein Healthcare Network,PA,613,2010-10-21,Theft,Desktop Computer,2014-01-23,2010-01-01,10,4,31,38,11,0
202,Kings County Hospital Center,NY,542,2010-08-22,Theft,Desktop Computer,2014-06-19,2010-01-01,8,3,428,34,11,0
203,University of Tennessee Medical Center,TN,8200,2009-09-23,Improper Disposal,Paper,2014-01-23,2009-01-01,9,3,903,43,2,40
204,Ochsner Health System,LA,9475,2010-09-27,Unauthorized Access/Disclosure,Paper,2014-01-23,2010-01-01,9,3,586,18,22,40
205,zarzamora family dental care,TX,800,2010-10-15,Theft,Desktop Computer,2014-01-23,2010-01-01,10,4,966,44,11,0
206,Hospital Auxilio Mutuo,PR,1000,2010-11-09,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident","Laptop, Desktop Computer",2014-01-23,2010-01-01,11,4,355,39,20,17
207,Pinnacle Health System,PA,1085,2008-10-01,Unauthorized Access/Disclosure,Network Server,2014-01-23,2008-01-01,10,4,629,38,22,30
208,"Gary C. Spinks, DMD, PC",MD,1000,2010-09-29,Hacking/IT Incident,"Desktop Computer, Network Server",2014-01-23,2010-01-01,9,3,282,20,0,3
209,Cook County Health & Hospitals System,IL,556,2010-11-01,Theft,Desktop Computer,2014-01-23,2010-01-01,11,4,197,14,11,0
210,"Dean Health Systems, Inc.; St. Mary's Hospital; St. Marys Dean Ventures, Incorporated",WI,3288,2010-11-08,Theft,Laptop,2014-01-23,2010-01-01,11,4,219,49,11,16
211,Riverside Mercy Hospital and Ohio/Mercy Diagnostics,OH,1000,2003-03-29,Improper Disposal,Paper,2014-01-23,2003-01-01,3,1,669,35,2,40
212,California Therapy Solutions,CA,1250,2010-11-11,Theft,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,11,4,124,4,11,36
213,Osceola Medical Center,WI,585,2010-11-25,Unauthorized Access/Disclosure,Other,2014-01-23,2010-01-01,11,4,606,49,22,34
214,Indiana Family and Social Services Administration,IN,757,2010-11-04,Theft,Laptop,2014-01-23,2010-01-01,11,4,375,15,11,16
215,Mankato Clinic,MN,3159,2010-11-01,Theft,Laptop,2014-01-23,2010-01-01,11,4,486,23,11,16
216,Geisinger Wyoming Valley Medical Center,PA,2928,2010-11-03,Unauthorized Access/Disclosure,E-mail,2014-01-23,2010-01-01,11,4,283,38,22,11
217,Our Lady of Peace Hospital,KY,24600,2010-03-31,"Theft, Loss","Other Portable Electronic Device, Other",2014-01-23,2010-01-01,3,1,607,17,14,36
218,International Union of Operating Engineers Health and Welfare Fund ,MD,800,2010-10-25,Theft,Paper,2014-01-23,2010-01-01,10,4,383,20,11,40
219,"Southern Perioperative Services, P.C.",AL,2000,2010-11-17,Theft,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,11,4,740,1,11,36
220,Keystone/AmeriHealth Mercy Health Plans,PA,808,2010-09-20,Loss,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,9,3,424,38,4,36
221,"Ankle + Foot Center of Tampa Bay, Inc.",FL,156000,2010-10-28,Theft,Network Server,2014-06-30,2010-01-01,10,4,46,9,11,30
222,OhioHealth Corporation dba Grant Medical Center,OH,501,2008-01-01,Theft,"Laptop, Desktop Computer",2014-01-23,2008-01-01,1,1,589,35,11,17
223,"Seacoast Radiology, PA",NH,231400,2010-11-12,Hacking/IT Incident,Network Server,2014-01-23,2010-01-01,11,4,706,30,0,30
224,Friendship Center Dental Office,FL,2200,2010-12-19,Theft,Laptop,2014-01-23,2010-01-01,12,4,276,9,11,16
225,Centra,VA,11982,2010-11-11,Theft,Laptop,2014-01-23,2010-01-01,11,4,145,46,11,16
226,St.Vincent Hospital - Indianapolis,IN,1848,2010-11-12,Hacking/IT Incident,"Network Server, E-mail",2014-01-23,2010-01-01,11,4,765,15,0,31
227,Texas Health Harris Methodist Hospital Azle,TX,9922,2010-04-07,"Theft, Loss","Other Portable Electronic Device, Other",2014-01-23,2010-01-01,4,2,805,44,14,36
228,Franciscan Medical Group,WA,1250,2010-11-18,Theft,Desktop Computer,2014-01-23,2010-01-01,11,4,274,48,11,0
229,State of South Carolina Budget and Control Board Employee Insurance Program (EIP),SC,5596,2010-11-08,Hacking/IT Incident,Desktop Computer,2014-01-23,2010-01-01,11,4,776,41,0,0
230,Lake Woods Nursing & Rehabilitation Center,MI,656,2010-12-28,Theft,"Laptop, Desktop Computer",2014-01-23,2010-01-01,12,4,443,22,11,17
231,"Benefit Resources, Inc.",SC,16200,2010-10-13,Loss,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,10,4,82,41,4,36
232,Baptist Memorial Hospital - Huntingdon,TN,4800,2010-11-27,Theft,Other,2014-04-23,2010-01-01,11,4,69,43,11,34
233,"Grays Harbor Pediatrics, PLLC",WA,12009,2010-11-23,Theft,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,11,4,298,48,11,36
234,"Hanger Prosthetics & Orthotics, Inc.",TX,4486,2010-11-24,Theft,Laptop,2014-01-23,2010-01-01,11,4,315,44,11,16
235,Baylor Heart and Vascular Center,TX,8241,2010-12-02,Theft,"Other Portable Electronic Device, Other",2014-04-23,2010-01-01,12,4,74,44,11,36
236,"CHC MEMPHIS CMHC, LLC",TN,500,2010-12-04,Theft,Desktop Computer,2014-01-23,2010-01-01,12,4,112,43,11,0
237,Jefferson Center for Mental Health,CO,546,2010-12-13,Theft,Paper,2014-01-23,2010-01-01,12,4,398,5,11,40
238,Green River District Health Department,KY,18871,2011-01-12,Hacking/IT Incident,Network Server,2014-01-23,2011-01-01,1,1,300,17,0,30
239,"Ortho Montana, PSC",MT,37000,2011-01-08,"Theft, Loss",Laptop,2014-02-14,2011-01-01,1,1,603,26,14,16
240,Cancer Care Northwest P.S.,WA,3100,2011-01-07,Theft,Paper,2014-06-30,2011-01-01,1,1,127,48,11,40
241,Saint Louis University,MO,800,2010-12-11,Hacking/IT Incident,Desktop Computer,2014-01-23,2010-01-01,12,4,695,24,0,0
242,New York City Health & Hospitals Corporation's North Bronx Healthcare Network,NY,1700000,2010-12-23,Theft,"Other, Electronic Medical Record",2014-05-28,2010-01-01,12,4,566,34,11,38
243,Long Beach Memorial Medical Center,CA,2250,2010-12-10,Unauthorized Access/Disclosure,Other,2014-01-23,2010-01-01,12,4,468,4,22,34
244,Walgreen Co.,IL,2700,2011-01-26,Theft,"Other Portable Electronic Device, Other",2014-06-10,2011-01-01,1,1,937,14,11,36
245,"Charleston Area Medical Center, Inc",WV,3655,2011-02-08,Unauthorized Access/Disclosure,Network Server,2014-01-23,2011-01-01,2,1,152,50,22,30
246,Mountain Vista Medical Center,AZ,2291,2010-10-13,Loss,"Other Portable Electronic Device, Other",2014-01-23,2010-01-01,10,4,545,3,4,36
247,Departamento de Salud de Puerto Rico,PR,2621,2010-03-14,Unknown,Desktop Computer,2014-01-23,2010-01-01,3,1,224,39,27,0
248,Henry Ford Hospital,MI,2777,2011-01-31,Loss,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,1,1,341,22,4,36
249,"Central Brooklyn Medical Group, PC",NY,500,2010-08-03,Theft,Paper,2014-06-20,2010-01-01,8,3,146,34,11,40
250,TRICARE Management Activity,CO,4500,2010-06-25,Unauthorized Access/Disclosure,Paper,2014-01-23,2010-01-01,6,2,795,5,22,40
251,Blue Cross and Blue Shield of Florida ,FL,7366,2010-10-16,Unknown,Other,2014-01-23,2010-01-01,10,4,91,9,27,34
252,"University Health Services, University of Massachusetts, Amherst",MA,942,2010-09-29,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,2010-01-01,9,3,872,19,22,0
253,"Omnicare, Inc",KY,8845,2011-01-19,Theft,Laptop,2014-01-23,2011-01-01,1,1,596,17,11,16
254,"JEFFREY J. SMITH, MD",OK,600,2010-11-24,Loss,"Desktop Computer, Other Portable Electronic Device, Other",2014-01-23,2010-01-01,11,4,389,36,4,9
255,University of Missouri Health Plan,MO,765,2011-01-10,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,1,1,894,24,22,40
256,Texas Health Arlington Memorial Hospital,TX,654,2010-12-23,Unknown,Electronic Medical Record,2014-01-23,2010-01-01,12,4,803,44,27,14
257,NYU School of Medicine Faculty Group Practice,NY,670,2011-01-27,Theft,Desktop Computer,2014-06-19,2011-01-01,1,1,558,34,11,0
258,"Rape & Brooks Orthodontics, P.C.",AL,20744,2011-02-03,Theft,"Desktop Computer, Network Server, Other Portable Electronic Device, Other",2014-01-23,2011-01-01,2,1,650,1,11,6
259,Clarksburg - Louis A. Johnson VA Medical Center,WV,1470,2010-10-26,Unauthorized Access/Disclosure,Paper,2014-01-23,2010-01-01,10,4,174,50,22,40
260,County of Los Angeles,CA,667,2011-02-23,Theft,Laptop,2014-01-23,2011-01-01,2,1,202,4,11,16
261,EISENHOWER MEDICAL CENTER,CA,514330,2011-03-11,Theft,Desktop Computer,2014-01-23,2011-01-01,3,1,243,4,11,0
262,Catholic Social Services,AK,1700,2011-02-01,Theft,Laptop,2014-06-30,2011-01-01,2,1,139,0,11,16
263,"Park Avenue Obstetrics & Gynecology, PC",AZ,635,2011-03-25,Theft,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,3,1,614,3,11,36
264,"Brian J Daniels D.D.S.,Paul R Daniels D.D.S.",AZ,10000,2011-03-01,Theft,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,3,1,101,3,11,36
265,MidState Medical Center,CT,93500,2011-02-14,Loss,Other,2014-01-23,2011-01-01,2,1,521,6,4,34
266,"Patient Care Services at Saint Francis, Inc.",OK,84000,2011-01-13,Theft,Network Server,2014-03-13,2011-01-01,1,1,617,36,11,30
267,Union Security Insurance Company,MO,935,2011-02-18,Unauthorized Access/Disclosure,Other,2014-01-23,2011-01-01,2,1,861,24,22,34
268,Oklaholma State Dept. of Health,OK,132940,2011-04-06,Theft,"Laptop, Paper",2014-04-23,2011-01-01,4,2,591,36,11,29
269,Aiken Community Based Outpatient Clinic,SC,2717,2011-02-16,Improper Disposal,Paper,2014-01-23,2011-01-01,2,1,29,41,2,40
270,"Health Net, Inc.",CA,1900000,2011-01-21,Unknown,Other,2014-01-23,2011-01-01,1,1,328,4,27,34
271,SW General Inc,AZ,566,2004-05-01,Theft,Paper,2014-01-23,2004-01-01,5,2,689,3,11,40
272,Fairview Health Services,MN,1215,2011-02-19,Loss,Paper,2014-01-23,2011-01-01,2,1,258,23,4,40
273,Time Insurance Company,WI,675,2011-02-01,Unauthorized Access/Disclosure,Other,2014-04-23,2011-01-01,2,1,836,49,22,34
274,Community Action partnership of Natrona County,WY,15000,2011-02-23,Hacking/IT Incident,Desktop Computer,2014-01-23,2011-01-01,2,1,186,51,0,0
275,"Keith & Fisher, DDS, PA",NC,6000,2011-02-16,Hacking/IT Incident,Network Server,2014-01-23,2011-01-01,2,1,419,27,0,30
276,MacNeal Hospital,IL,845,2011-03-10,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,2011-01-01,3,1,483,14,0,18
277,West Lake Hospital ,IL,686,2011-03-10,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,2011-01-01,3,1,945,14,0,18
278,Phoenix Health Plan,AZ,9393,2011-03-10,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-04-23,2011-01-01,3,1,626,3,0,18
279,MacNeal Physician Group,IL,532,2011-03-10,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,2011-01-01,3,1,484,14,0,18
280,Genesis Clinical Laboratory,IL,1070,2011-03-10,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,2011-01-01,3,1,285,14,0,18
281,Knox Community Hospital,OH,500,2010-10-01,Improper Disposal,Other,2014-01-23,2010-01-01,10,4,430,35,2,34
282,Speare Memorial Hospital,NH,5960,2011-04-02,Theft,Laptop,2014-03-13,2011-01-01,4,2,744,30,11,16
283,Methodist Charlton Medical Center,TX,1500,2011-04-16,Theft,Laptop,2014-01-23,2011-01-01,4,2,512,44,11,16
284,Drs Edalji and Komer,MA,563,2011-04-12,Theft,Laptop,2014-01-23,2011-01-01,4,2,239,19,11,16
285,Reid Hospital & Health Care Services,IN,22001,2011-04-02,Theft,Laptop,2014-01-23,2011-01-01,4,2,657,15,11,16
286,Union Security Insurance Company,MO,850,2011-03-24,Unauthorized Access/Disclosure,Other,2014-01-23,2011-01-01,3,1,861,24,22,34
287,Indiana Regional Medical Center,PA,1388,2010-09-28,Theft,Paper,2014-01-23,2010-01-01,9,3,377,38,11,40
288,"MMM Healthcare, Inc.",PR,32390,2011-03-08,Theft,Desktop Computer,2014-01-23,2011-01-01,3,1,480,39,11,0
289,PMC Medicare Choice,PR,24361,2011-03-08,Theft,Desktop Computer,2014-01-23,2011-01-01,3,1,610,39,11,0
290,CVS CAREMARK,AZ,654,2011-01-17,"Theft, Unauthorized Access/Disclosure",Paper,2014-04-23,2011-01-01,1,1,116,3,19,40
291,CENTER FOR ARTHRITIS & RHEUMATIC DISEASES,FL,8000,2011-01-01,Theft,"Other, Paper",2014-01-23,2011-01-01,1,1,110,9,11,39
292,"Robert B. Miller, MD",CA,620,2011-04-01,Theft,Laptop,2014-01-23,2011-01-01,4,2,672,4,11,16
293,Imaging Center of Garland,TX,1031,2011-03-15,Improper Disposal,Other,2014-01-23,2011-01-01,3,1,370,44,2,34
294,New York State Department of Health,NY,550,2011-04-17,Theft,Paper,2014-06-03,2011-01-01,4,2,567,34,11,40
295,St. Mary's Hospital for Children,NY,550,2011-04-17,Theft,Paper,2014-06-02,2011-01-01,4,2,761,34,11,40
296,Medicare Fee-for-Service Program,MD,13412,2011-04-11,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,4,2,502,20,22,40
297,VA Caribbean Healthcare System,PR,6006,2011-03-30,Theft,Paper,2014-06-19,2011-01-01,3,1,910,39,11,40
298,Blue Cross Blue Shield of Michigan,MI,11387,2010-11-17,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,2010-01-01,11,4,89,22,24,30
299,Spartanburg Regional Healthcare System,SC,400000,2011-03-28,Theft,Desktop Computer,2014-01-23,2011-01-01,3,1,743,41,11,0
300,Saint Joseph - Berea,KY,1986,2011-04-14,"Theft, Loss","Other Portable Electronic Device, Other",2014-04-23,2011-01-01,4,2,694,17,14,36
301,Navos,WA,2700,2011-03-15,Unknown,Paper,2014-01-23,2011-01-01,3,1,560,48,27,40
302,"Dunes Family Health Care, P.C",OR,17000,2011-03-11,Theft,"Other Portable Electronic Device, Other",2014-02-14,2011-01-01,3,1,241,37,11,36
303,"Metropolitan Community Health Services, Inc.",NC,1263,2011-05-18,Unknown,E-mail,2014-04-23,2011-01-01,5,2,515,27,27,11
304,TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,2000,2011-04-01,"Loss, Improper Disposal",Paper,2014-01-23,2011-01-01,4,2,798,3,5,40
305,"FOOTHILLS NEPHROLOGY, PC",SC,1280,2011-04-28,Theft,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,4,2,256,41,11,36
306,Sutter Gould Medical Foundation (SGMF),CA,1192,2011-05-23,Loss,Paper,2014-01-23,2011-01-01,5,2,789,4,4,40
307,Silverpop Systems Inc. Health and Welfare Plan,GA,884,2011-04-15,Theft,Laptop,2014-01-23,2011-01-01,4,2,722,10,11,16
308,New River Health Association,WV,950,2011-04-01,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,4,2,565,50,22,40
309,HealthCare Partners,CA,15677,2011-04-17,Theft,Desktop Computer,2014-01-23,2011-01-01,4,2,334,4,11,0
310,"Gene S. J. Liaw, MD. PS",WA,1105,2011-04-04,Loss,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,4,2,284,48,4,36
311,Blue Cross and Blue Shield of Florida ,FL,3463,2011-04-11,Unauthorized Access/Disclosure,Other,2014-01-23,2011-01-01,4,2,91,9,22,34
312,"NOL, LLC d/b/a Premier Radiology",TN,810,2011-05-07,Theft,Laptop,2014-04-23,2011-01-01,5,2,554,43,11,16
313,"Advanced Diagnostic Imaging, P.C.",TN,705,2011-05-07,Theft,Laptop,2014-04-23,2011-01-01,5,2,16,43,11,16
314,University of Missouri Health Care,MO,1288,2011-06-14,Unknown,Paper,2014-01-23,2011-01-01,6,2,893,24,27,40
315,Accendo,AZ,175350,2011-01-01,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,1,1,7,3,22,40
316,Ohio Health Plans,OH,78042,2011-06-03,Theft,Laptop,2014-01-23,2011-01-01,6,2,588,35,11,16
317,"Gail Gillespie and Associates, LLC",LA,2000,2011-06-25,Theft,"Laptop, Desktop Computer, Network Server, E-mail, Other Portable Electronic Device, Other, Electronic Medical Record",2014-01-23,2011-01-01,6,2,281,18,11,19
318,Health Plan of San Mateo,CA,694,2011-04-25,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,4,2,329,4,22,40
319,Department of Health Care Policy and Financing,CO,3589,2011-05-06,Loss,Other,2014-02-14,2011-01-01,5,2,226,5,4,34
320,Yanez Dental Corporation,CA,10190,2011-05-22,Theft,"Desktop Computer, Network Server",2014-01-23,2011-01-01,5,2,959,4,11,3
321,Jackson Health System,FL,1562,2008-10-01,Unauthorized Access/Disclosure,"Other, Electronic Medical Record",2014-01-23,2008-01-01,10,4,390,9,22,38
322,The Mount Sinai Hospital,NY,712,2011-06-07,Theft,Laptop,2014-06-02,2011-01-01,6,2,825,34,11,16
323,Troy Regional Medical Center,AL,880,2011-03-22,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,3,1,848,1,22,40
324,Lansing Community College,MI,5000,2011-05-09,Hacking/IT Incident,Network Server,2014-03-24,2011-01-01,5,2,448,22,0,30
325,Dr Axel Velez,PR,2800,2011-06-19,Theft,Desktop Computer,2014-03-13,2011-01-01,6,2,236,39,11,0
326," DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",GA,7500,2010-07-11,Theft,Paper,2014-01-23,2010-01-01,7,3,0,10,11,40
327,Beth Israel Deaconess Medical Center,MA,2021,2011-04-17,Hacking/IT Incident,Network Server,2014-01-23,2011-01-01,4,2,84,19,0,30
328,"Gypsum Management and Supply, Inc. Medical and Dental Plan",GA,25330,2011-05-09,Unauthorized Access/Disclosure,Network Server,2014-01-23,2011-01-01,5,2,310,10,22,30
329,"Andersen Air Force Base, Guam",VA,700,2011-05-13,Improper Disposal,Paper,2014-01-23,2011-01-01,5,2,45,46,2,40
330,Molina Medicare,CA,4573,2011-01-01,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,1,1,536,4,22,40
331,Windsor Health Plan,TN,1378,2011-03-01,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,3,1,950,43,22,40
332,Health Care Service Corporation,IL,501,2011-06-28,Theft,Paper,2014-01-23,2011-01-01,6,2,324,14,11,40
333,University of Kentucky - UK HealthCare,KY,3604,2011-06-07,Theft,Laptop,2014-04-23,2011-01-01,6,2,884,17,11,16
334,"Austin Center for Therapy and Assessment, LLC",TX,1870,2011-07-08,Theft,Laptop,2014-04-24,2011-01-01,7,3,61,44,11,16
335,Treatment Services Northwest,OR,1200,2011-07-08,Theft,Desktop Computer,2014-01-23,2011-01-01,7,3,841,37,11,0
336,Mills-Peninsula Health Services,CA,1500,2009-11-01,Unauthorized Access/Disclosure,Paper,2014-01-23,2009-01-01,11,4,525,4,22,40
337,Brigham and Women's Hospital and Faulkner Hospital ,MA,638,2011-06-21,Theft,Other Portable Electronic Device,2014-06-30,2011-01-01,6,2,103,19,11,35
338,"Ashley Industrial Molding, Inc. Employee Welfare Benefit Plan ",IN,506,2011-05-09,Hacking/IT Incident,Network Server,2014-01-23,2011-01-01,5,2,54,15,0,30
339,Monmouth Medical Center,NJ,6443,2011-06-24,Theft,"Other Portable Electronic Device, Other",2014-06-19,2011-01-01,6,2,538,31,11,36
340,Clara Maass Medical Center,NJ,8795,2011-06-24,Theft,"Other Portable Electronic Device, Other",2014-06-19,2011-01-01,6,2,173,31,11,36
341,Newark Beth Israel Medical Center,NJ,15015,2011-06-24,Theft,"Other Portable Electronic Device, Other",2014-06-19,2011-01-01,6,2,569,31,11,36
342,Saint Barnabas Medical Center,NJ,6179,2011-06-24,Theft,"Other Portable Electronic Device, Other",2014-06-19,2011-01-01,6,2,692,31,11,36
343,Washington State Department of Social and Health Services,WA,3950,2011-07-01,Unauthorized Access/Disclosure,Paper,2014-01-23,2011-01-01,7,3,940,48,22,40
344,St. Francis Hospital,DE,948,2011-06-01,Loss,"Other Portable Electronic Device, Other",2014-06-10,2011-01-01,6,2,751,8,4,36
345,"Reznick Group, P.C.",MD,2459,2011-05-09,Hacking/IT Incident,Network Server,2014-03-25,2011-01-01,5,2,661,20,0,30
346,The Neurological Institute of Savannah & Center for Spine,GA,63425,2011-07-02,Theft,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,7,3,828,10,11,36
347,Kimball Medical Center,NJ,6785,2011-06-24,Theft,"Other Portable Electronic Device, Other",2014-06-19,2011-01-01,6,2,425,31,11,36
348,Community Medical Center,NJ,6950,2011-06-24,Theft,"Other Portable Electronic Device, Other",2014-06-19,2011-01-01,6,2,187,31,11,36
349,American Health Medicare ,PR,5848,2011-06-01,Theft,Other,2014-06-03,2011-01-01,6,2,39,39,11,34
350,Texas Health Presbtyerian Hospital Flower Mound,TX,10345,2011-06-21,Theft,Laptop,2014-01-23,2011-01-01,6,2,807,44,11,16
351,Capron Rescue Squad District,IL,815,2011-02-05,Unauthorized Access/Disclosure,Laptop,2014-01-23,2011-01-01,2,1,128,14,22,16
352,Cook County Health & Hospitals System,IL,32008,2011-06-24,Theft,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,6,2,197,14,11,36
353,Lexington VAMC,KY,1432,2011-05-23,Theft,"Laptop, Other Portable Electronic Device, Paper",2014-06-03,2011-01-01,5,2,456,17,11,28
354,"Dr. Victoria Falcone, Falcone Cosmetic Services, PC, Falcone Cosmetic Services of NJ, PC",PA,3000,2011-08-14,"Theft, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Network Server, E-mail, Other Portable Electronic Device, Other, Electronic Medical Record, Paper",2014-06-10,2011-01-01,8,3,237,38,19,20
355,"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER",IL,2000,2011-07-01,Theft,"Desktop Computer, Network Server",2014-01-23,2011-01-01,7,3,311,14,11,3
356,Stanford Hospital & Clinics,CA,19651,2010-09-09,Unauthorized Access/Disclosure,Other,2014-01-23,2010-01-01,9,3,768,4,22,34
357,"Muir Orthopaedic Specialists, A Medical Group Inc.",CA,1800,2011-07-27,Theft,Paper,2014-01-23,2011-01-01,7,3,546,4,11,40
358,NEA Baptist Clinic,AR,3116,2011-07-12,Hacking/IT Incident,Network Server,2014-01-23,2011-01-01,7,3,551,2,0,30
359,Jonathan Noel MD,IN,2059,2011-07-13,Theft,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,7,3,407,15,11,36
360,Texas Health and Human Services Commission,TX,1696,2011-03-10,Theft,Laptop,2014-01-23,2011-01-01,3,1,809,44,11,16
361,University of Wisconsin Oshkosh,WI,3000,2011-07-18,Hacking/IT Incident,Desktop Computer,2014-01-23,2011-01-01,7,3,905,49,0,0
362,Centro de Ortodoncia Inc.,PR,2000,2010-05-06,Theft,Paper,2014-06-20,2010-01-01,5,2,149,39,11,40
363,"John T. Melvin, M.D.& Associates",TX,2541,2011-08-09,Theft,Paper,2014-03-13,2011-01-01,8,3,405,44,11,40
364,"Diversified Resources, Inc.",GA,863,2011-08-11,Theft,Laptop,2014-01-23,2011-01-01,8,3,234,10,11,16
365,VA Gulf Coast Veterans Health Care System,MS,1797,2011-07-21,Theft,Paper,2014-06-20,2011-01-01,7,3,913,25,11,40
366,Freda J Bowman  MD PA,TX,1300,2011-09-20,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,2011-01-01,9,3,275,44,24,30
367,"Bonney Lake Medical Center and Mythili R. Ramachandran, MD",WA,2367,2011-08-12,Theft,"Laptop, Desktop Computer",2014-02-14,2011-01-01,8,3,97,48,11,17
368,United States Steel Corporation Plan for Active Employee Insurance Benefits and the United States Steel Corporation Plan for Retiree Insurance Benefits,PA,4000,2011-08-15,Loss,"Other Portable Electronic Device, Other",2014-03-24,2011-01-01,8,3,866,38,4,36
369,VA Illiana Health Care System,IL,518,2011-07-14,Loss,Paper,2014-01-23,2011-01-01,7,3,914,14,4,40
370,Health Texas Provider Network,TX,1259,2011-07-27,Theft,Laptop,2014-03-13,2011-01-01,7,3,332,44,11,16
371,Blue Cross of Northeastern Pennsylvania,PA,507,2011-09-09,"Theft, Unauthorized Access/Disclosure","Laptop, Paper",2014-03-24,2011-01-01,9,3,93,38,19,29
372,NYU Hospital for Joint Diseases Inventory Management Department,NY,2600,2011-06-23,Theft,Paper,2014-06-20,2011-01-01,6,2,556,34,11,40
373,WAYNE HIGHLANDS SCHOOL DISTRICT,PA,579,2011-09-09,"Theft, Unauthorized Access/Disclosure",Paper,2014-06-10,2011-01-01,9,3,932,38,19,40
374,"Summit Medical Group, PLLC",TN,731,2011-09-04,Theft,Paper,2014-01-23,2011-01-01,9,3,783,43,11,40
375,MAPFRE Life,PR,2209,2011-08-05,Theft,Other,2014-03-13,2011-01-01,8,3,477,39,11,34
376,American Continental Insurance Company,TN,690,2011-07-28,Theft,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,7,3,37,43,11,36
377,United of Omaha Life Insurance Company,NE,1631,2011-07-28,Loss,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,7,3,867,29,4,36
378,Mutual of Omaha Insurance Company,NE,705,2011-07-28,Theft,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,7,3,549,29,11,36
379,Henry Ford Health System,MI,520,2011-08-08,Theft,Desktop Computer,2014-01-23,2011-01-01,8,3,340,22,11,0
380,Indiana University,IN,3266,2011-08-16,Theft,Laptop,2014-01-23,2011-01-01,8,3,378,15,11,16
381,"Adult & Pediatric Dermatology, PC",MA,2200,2011-09-14,Theft,"Other Portable Electronic Device, Other",2014-01-23,2011-01-01,9,3,13,19,11,36
382,The Nemours Foundation,FL,1055489,2011-08-10,Loss,Other,2014-01-23,2011-01-01,8,3,827,9,4,34
383,"California Industrial Medicine, Inc.",CA,700,2011-09-28,"Theft, Unauthorized Access/Disclosure",Paper,2014-02-14,2011-01-01,9,3,123,4,19,40
384,"InStep Foot Clinic, P.A.",MN,2600,2011-08-28,Theft,"Laptop, Electronic Medical Record",2014-01-23,2011-01-01,8,3,371,23,11,24
385,North Memorial,MN,6697,2011-07-25,Theft,Laptop,2014-01-23,2011-01-01,7,3,576,23,11,16
386,"Lahey Clinic Hospital, Inc.",MA,599,2011-08-12,Theft,Laptop,2014-03-13,2011-01-01,8,3,441,19,11,16
387,UnitedHealth Group health plan single affiliated covered entity,MN,3994,2011-07-28,Theft,Other,2014-01-23,2011-01-01,7,3,868,23,11,34
388,Good Samaritan Hospital,MD,1500,2011-09-09,Theft,Paper,2014-01-23,2011-01-01,9,3,293,20,11,40
389,"Amerigroup Community Care of New Mexico, Inc",NM,1537,2011-07-15,Theft,Paper,2014-01-23,2011-01-01,7,3,41,32,11,40
